Date,New York State Average ($/gal),East Coast Production of Gasoline (Thousand Barrels per Day),East Coast Production of Jet Fuel (Thousand Barrels per Day),U.S. Production of Gasoline (Thousand Barrels per Day),U.S. Gasoline Demand (Thousand Barrels per Day),U.S. Production of Jet Fuel (Thousand Barrels per Day),NY Conventional Gasoline Spot Price ($/gal),NY Ultra-Low Sulfur Diesel Spot Price ($/gal),WTI Crude Oil Spot Price ($/barrel),Brent Crude Oil Spot Price ($/barrel),Mid-Atlantic ULS Diesel Stocks (Thousand Barrels),Mid-Atlantic Gasoline Stocks (Thousand Barrels),East Coast Gasoline Stocks (Thousand Barrels),East Coast Ethanol Stocks  (Thousand Barrels),East Coast Jet Fuels Stocks (Thousand Barrels),U.S. Gasoline Stocks (Thousand Barrels),U.S. Crude Oil Stocks (Thousand Barrels),New York State Average ($/gal)Diesel,Region,Region Gas Cost ($/gal),Region Diesel Cost ($/gal),Registration Count,ev_rebate_count,avg_ghg_reductions,avg_petroleum_reductions,avg_rebate_amount,stations_opened_count,unique_connector_types
2017-03-27,2.42,3107.0,76.0,10028.0,9524.0,1731.0,1.49,1.5,47.28,50.1,29523.0,35803.0,65648.0,8028.0,10581.0,239721.0,533977.0,2.71,Albany,2.31,2.63,1584,5,2.7024,441.2214,1160.0,0.0,0.0
2017-05-01,2.54,3267.0,108.0,9783.0,9156.0,1738.0,1.53,1.52,49.12,49.55,29353.0,35406.0,67206.0,8227.0,11262.0,241232.0,527772.0,2.73,Albany,2.46,2.63,1849,22,2.8667727272727275,479.59386363636355,1318.1818181818182,0.0,0.0
2017-05-29,2.51,3376.0,87.0,10430.0,9822.0,1701.0,1.61,1.58,50.21,52.58,29326.0,35092.0,68426.0,8009.0,10048.0,237024.0,509912.0,2.7,Albany,2.43,2.61,1780,5,2.7514,548.7618,1580.0,0.0,0.0
2017-06-26,2.45,3342.0,106.0,10334.0,9538.0,1775.0,1.39,1.37,43.09,44.63,29895.0,34745.0,68202.0,7788.0,11454.0,240972.0,509213.0,2.67,Albany,2.32,2.57,2063,10,2.7783,496.41949999999997,1430.0,0.0,0.0
2017-07-31,2.44,3371.0,103.0,10295.0,9842.0,1781.0,1.61,1.59,48.27,49.95,28871.0,31952.0,62597.0,7546.0,9993.0,227679.0,481888.0,2.66,Albany,2.32,2.57,2357,19,2.7282105263157894,502.9584736842105,1494.7368421052631,0.0,0.0
2017-08-28,2.48,3353.0,101.0,10602.0,9846.0,1794.0,1.66,1.61,47.68,52.03,29128.0,31152.0,62718.0,6823.0,8284.0,229937.0,457773.0,2.7,Albany,2.34,2.62,2093,21,2.719761904761905,506.59390476190475,1442.857142857143,0.0,0.0
2017-09-25,2.79,3219.0,90.0,9855.0,9522.0,1711.0,1.77,1.8,50.12,57.03,23917.0,26539.0,55808.0,6579.0,9837.0,217292.0,470986.0,2.85,Albany,2.7,2.77,2634,15,2.8686,521.5921999999999,1440.0,0.0,0.0
2017-10-30,2.64,3234.0,90.0,10187.0,9461.0,1558.0,1.79,1.83,52.51,58.58,22434.0,24454.0,53990.0,7097.0,9616.0,212849.0,454906.0,2.85,Albany,2.58,2.77,2777,62,2.680951612903226,519.8505967741935,1467.741935483871,0.0,0.0
2017-11-27,2.68,3200.0,116.0,10222.0,8724.0,1633.0,1.8,1.93,57.47,62.68,25609.0,26291.0,56069.0,6952.0,10252.0,214102.0,453713.0,2.93,Albany,2.61,2.88,1837,20,2.8264500000000004,483.69944999999996,1340.0,0.0,0.0
2018-01-01,2.63,2970.0,101.0,9682.0,8650.0,1774.0,1.83,2.04,59.88,66.52,27302.0,30038.0,58210.0,7013.0,10046.0,233187.0,424463.0,2.97,Albany,2.53,2.94,2221,7,2.5822857142857143,472.9255714285714,1400.0,0.0,0.0
2018-01-29,2.73,2952.0,110.0,9567.0,9044.0,1621.0,1.97,2.09,65.14,70.04,22786.0,31105.0,63317.0,7523.0,10046.0,242060.0,418359.0,3.18,Albany,2.64,3.18,4711,16,2.1941875,399.9424375,1175.0,0.0,0.0
2018-02-26,2.73,3036.0,69.0,9391.0,8860.0,1663.0,1.81,1.94,62.47,65.52,23268.0,35611.0,65244.0,7678.0,9621.0,251817.0,423498.0,3.19,Albany,2.64,3.18,2771,12,2.7305833333333336,479.86133333333333,1400.0,0.0,0.0
2018-03-26,2.71,3098.0,70.0,10305.0,9208.0,1881.0,1.87,1.97,64.11,67.4,22180.0,31034.0,56349.0,6966.0,9118.0,239593.0,429949.0,3.15,Albany,2.61,3.1,3639,12,2.098333333333333,423.3844166666667,1300.0,0.0,0.0
2018-04-30,2.92,3223.0,120.0,10045.0,9090.0,1812.0,2.07,2.14,67.91,74.98,15187.0,33648.0,62055.0,7378.0,8746.0,237978.0,435955.0,3.24,Albany,2.82,3.17,3733,23,2.5863478260869566,469.9683913043478,1413.0434782608695,0.0,0.0
2018-05-28,3.09,3272.0,106.0,10433.0,9689.0,1785.0,2.18,2.27,70.98,78.59,13507.0,32142.0,64712.0,6949.0,10071.0,234431.0,434512.0,3.36,Albany,3.01,3.26,4791,25,2.64636,470.69591999999994,1400.0,0.0,0.0
2018-06-25,3.03,3301.0,107.0,10142.0,9731.0,1897.0,1.98,2.11,66.32,74.12,13650.0,34872.0,67094.0,7064.0,12122.0,241196.0,416636.0,3.35,Albany,2.94,3.25,3571,13,2.333923076923077,472.58346153846156,1307.6923076923076,0.0,0.0
2018-07-30,3.0,3298.0,99.0,10483.0,9878.0,1969.0,2.11,2.15,70.01,74.0,17879.0,33446.0,64049.0,7682.0,10618.0,230968.0,408740.0,3.33,Albany,2.88,3.23,3710,12,2.4116666666666666,444.46116666666666,1400.0,0.0,0.0
2018-08-27,2.99,3271.0,123.0,10237.0,9899.0,1991.0,2.08,2.16,68.1,72.77,20879.0,32348.0,64071.0,7556.0,10163.0,232774.0,405792.0,3.32,Albany,2.87,3.22,3369,15,2.6972666666666667,427.8024,1160.0,0.0,0.0
2018-10-01,2.99,3177.0,73.0,9950.0,9102.0,1744.0,2.14,2.32,72.84,81.85,20799.0,35878.0,69262.0,7942.0,11984.0,235221.0,403964.0,3.34,Albany,2.86,3.25,3155,17,2.1775294117647057,422.2971176470588,1364.7058823529412,1.0,1.0
